,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate
0,0,40,2,1,2,1,1,735780,735781,735739,2,2,0,0,0,0,0,2,1,1,10,218
1,0,49,2,3,1,0,1,735780,735781,735744,3,3,0,0,0,0,2,2,1,0,0,185
2,0,42,3,1,2,0,1,735781,735785,735778,3,3,0,0,0,0,0,2,1,0,0,119
3,1,25,0,0,3,2,0,735781,735782,735769,4,3,0,0,0,0,2,0,1,1,5,144
4,0,62,2,2,0,0,2,735782,735783,735769,1,1,0,0,0,0,0,1,0,1,10,242
5,1,34,0,0,3,1,0,735782,735783,735769,5,2,1,0,1,0,0,2,0,1,10,143
6,0,53,0,2,2,0,0,735782,735783,735783,2,1,0,0,1,1,2,2,1,1,25,212
7,1,40,2,3,3,1,1,735782,735783,735774,2,1,0,1,0,0,0,2,1,0,0,170
8,1,59,0,3,3,3,2,735724,735725,735640,3,2,0,0,0,0,1,1,1,1,10,245
9,1,21,2,1,1,3,1,735710,735713,735638,2,3,0,2,1,0,2,2,0,1,20,212
10,1,69,0,2,2,2,1,735772,735775,735752,1,3,0,0,0,0,1,2,0,0,0,106
11,0,52,2,0,1,2,0,735784,735785,735750,4,3,0,2,1,0,0,2,1,1,10,208
12,1,55,3,0,0,1,1,735784,735785,735717,1,2,0,0,1,0,0,2,0,0,0,145
13,0,42,1,1,2,0,0,735784,735788,735770,1,2,0,2,1,0,0,2,1,1,25,180
14,0,69,0,0,0,3,0,735784,735786,735749,1,2,2,0,0,0,2,2,1,1,15,246
15,1,42,3,1,3,1,2,735784,735785,735717,3,3,1,0,0,0,0,0,1,1,10,203
16,0,22,1,1,0,2,2,735784,735787,735750,1,2,0,0,0,0,0,0,1,0,0,220
17,1,32,1,3,2,2,0,735781,735782,735770,1,1,2,0,1,0,0,1,0,0,0,182
18,0,55,1,0,2,0,0,735781,735782,735782,3,1,1,0,0,0,0,2,1,1,10,168
19,1,62,1,3,1,3,0,735784,735785,735778,1,1,0,0,0,0,2,2,1,0,0,234
20,1,22,0,1,2,0,2,735785,735786,735749,1,3,2,0,0,0,2,1,1,1,10,118
21,0,62,3,2,3,2,2,735786,735790,735718,1,2,0,0,0,0,0,0,0,1,5,220
22,1,45,1,2,0,0,0,735786,735787,735715,3,1,0,0,0,0,0,2,1,1,20,222
23,0,53,2,3,0,2,1,735786,735789,735717,5,3,0,0,0,0,0,2,0,1,25,161
24,0,33,3,3,1,2,1,735780,735782,735655,2,1,0,2,0,0,0,1,1,1,10,101
25,1,32,2,0,2,2,1,735787,735788,735710,3,1,1,0,1,0,0,2,1,0,0,105
26,0,43,0,0,2,2,1,735787,735788,735740,2,2,0,0,1,0,0,2,1,0,0,146
27,0,38,3,2,0,3,1,735729,735730,735670,3,2,0,0,0,0,2,0,1,1,20,162
28,0,18,1,2,2,0,1,735787,735788,735711,1,2,0,0,1,0,0,2,1,1,10,129
29,1,66,2,0,1,2,2,735787,735789,735690,2,1,0,0,0,0,2,2,1,0,0,218
30,1,44,2,2,2,1,0,735794,735797,735679,2,1,0,0,0,0,2,2,1,1,20,191
31,0,43,2,2,0,0,0,735795,735796,735701,5,2,0,0,0,0,0,2,1,1,25,154
32,0,29,1,3,0,2,0,735747,735748,735652,3,2,0,0,0,0,2,2,1,0,0,173
33,0,54,1,3,1,2,0,735787,735788,735719,4,2,1,0,1,0,0,2,1,0,0,216
34,0,48,3,3,1,2,1,735737,735740,735695,3,2,1,0,0,0,0,2,1,1,5,103
35,0,43,2,0,1,0,0,735768,735769,735729,3,1,0,0,0,0,0,2,0,1,25,246
36,0,43,3,1,3,2,0,735785,735788,735773,5,2,0,0,0,0,0,1,1,0,0,156
37,0,23,0,2,1,1,1,735785,735786,735750,3,1,0,0,1,0,0,2,0,1,10,237
38,1,43,0,3,0,2,1,735741,735745,735702,4,2,1,0,1,0,0,0,0,0,0,166
39,1,21,3,0,1,2,0,735786,735790,735720,1,2,1,2,0,0,0,1,1,1,25,208
40,0,35,0,3,0,2,0,735736,735737,735692,1,1,0,0,0,0,1,2,1,1,30,159
41,0,36,3,3,0,2,2,735786,735789,735744,2,2,0,0,0,0,0,2,0,1,10,188
42,0,51,0,0,1,0,2,735786,735787,735771,2,1,0,0,0,0,0,1,1,1,20,134
43,0,29,3,0,1,1,0,735786,735787,735717,2,1,0,2,1,1,0,2,1,1,20,218
44,0,68,3,2,1,0,0,735788,735792,735685,1,2,1,0,0,0,0,1,1,0,0,101
45,1,44,1,0,1,3,2,735751,735754,735707,2,1,0,0,0,0,2,1,1,0,0,124
46,0,62,3,2,2,2,2,735788,735790,735694,3,2,1,0,1,0,0,2,1,1,10,243
47,1,68,2,2,2,2,0,735788,735789,735676,1,1,1,0,0,0,2,2,1,1,25,238
48,1,69,3,1,2,2,2,735788,735792,735702,2,2,0,2,0,0,0,2,1,0,0,150
49,0,66,0,1,3,1,0,735788,735789,735739,1,2,0,2,0,0,0,1,1,1,5,111
50,0,32,1,1,1,2,2,735788,735791,735678,2,2,0,0,1,0,0,2,1,1,20,240
51,1,59,2,2,0,2,0,735792,735793,735700,3,1,0,0,0,0,0,2,0,1,40,237
52,1,44,0,0,1,3,1,735795,735796,735720,2,2,0,0,0,0,0,0,1,0,0,228
53,0,48,2,2,1,0,1,735782,735783,735780,2,2,1,0,1,1,0,2,0,1,25,175
54,1,28,0,0,3,1,0,735782,735786,735785,2,2,0,0,0,0,2,2,1,1,15,199
55,0,67,2,0,1,2,0,735782,735783,735782,2,1,0,0,1,1,2,2,0,1,20,158
56,0,63,3,1,3,1,0,735782,735783,735783,2,2,1,0,0,0,0,1,1,1,10,131
57,1,38,3,1,1,1,0,735782,735783,735783,5,1,1,0,1,0,0,2,1,1,10,149
58,1,21,0,1,0,0,1,735782,735783,735783,2,2,0,0,1,0,2,2,1,1,20,140
59,1,60,2,2,3,2,0,735783,735784,735770,2,1,1,0,0,0,1,2,1,1,10,143
60,0,26,1,2,2,0,1,735783,735784,735774,1,1,0,0,0,0,2,1,1,1,5,225
61,1,52,3,1,3,2,0,735783,735784,735779,3,1,1,0,1,0,1,2,0,1,25,201
62,1,24,3,2,0,2,2,735784,735785,735768,2,2,0,0,1,0,0,1,1,0,0,123
63,1,60,1,3,2,2,0,735784,735785,735692,4,2,0,0,1,1,0,2,1,1,25,242
