,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate
0,1,56,3,1,2,3,2,736207,736209,736012,2,2,0,2,0,0,0,0,0,1,15,192
1,1,60,2,0,0,3,2,736207,736211,736032,2,2,0,1,1,0,0,2,1,0,0,187
2,0,58,1,0,2,1,0,736208,736209,736015,3,1,0,1,0,0,0,1,0,1,10,227
3,0,23,2,0,0,0,0,736207,736209,736104,1,2,0,1,1,0,2,1,0,1,25,189
4,0,47,1,0,0,2,1,736207,736208,736115,1,1,0,2,1,0,0,2,1,1,10,218
5,0,59,0,2,0,2,0,736207,736210,736082,1,2,0,0,1,0,1,2,0,0,0,184
6,0,59,3,1,1,2,0,736207,736210,736024,3,2,0,2,1,0,2,0,0,1,5,165
7,1,47,3,0,1,3,1,736207,736208,736132,3,1,0,0,0,0,0,2,0,0,0,204
8,0,58,0,2,3,1,0,736207,736208,736064,3,3,0,0,0,0,0,1,1,0,0,143
9,0,48,2,1,0,2,2,736207,736208,736086,4,2,1,1,1,1,0,2,1,1,20,126
10,1,60,2,1,1,0,2,736207,736208,736001,3,1,0,1,1,0,0,2,1,1,25,205
11,1,47,3,2,0,0,2,736208,736209,736055,3,1,0,2,1,0,0,1,1,1,5,143
12,1,59,0,1,3,0,0,736208,736209,736037,3,1,0,2,0,0,0,2,0,0,0,199
13,0,32,1,0,2,3,0,736208,736210,736053,3,1,1,2,1,1,0,2,1,1,25,172
14,0,57,1,3,0,2,2,736208,736209,736096,2,1,0,0,1,1,0,1,1,1,5,109
15,0,38,3,0,1,0,1,736208,736209,736121,5,1,1,2,0,0,0,2,0,1,10,244
16,1,46,1,3,2,3,2,736208,736209,736088,2,1,0,0,1,0,2,1,1,1,10,228
17,1,20,3,3,1,2,1,736208,736210,736180,4,1,0,2,1,1,0,2,1,0,0,102
18,0,61,0,0,0,3,2,736208,736209,736071,1,2,0,0,0,0,0,2,0,0,0,108
19,1,38,0,0,0,1,0,736208,736209,736025,2,3,1,0,0,0,2,2,1,1,25,214
20,0,35,1,1,1,2,2,736209,736210,736108,2,2,0,1,0,0,2,2,1,1,10,209
21,1,38,2,2,0,2,1,736208,736210,736038,1,1,0,0,0,0,2,2,1,1,20,170
22,0,19,2,2,0,2,1,736208,736210,736173,2,3,0,2,0,0,2,2,1,1,20,164
23,0,21,3,2,0,3,0,736208,736210,736206,2,1,0,0,0,0,2,2,0,1,10,224
24,1,67,2,0,0,2,0,736208,736209,736051,2,1,1,1,1,0,0,2,0,1,20,196
25,1,64,2,3,3,2,1,736208,736209,736123,2,2,0,0,0,0,0,2,1,1,5,128
26,0,62,1,1,2,0,2,736208,736210,736052,1,2,1,0,0,0,0,2,1,0,0,145
27,1,42,0,3,0,0,2,736208,736212,736011,1,2,0,1,1,1,0,2,0,1,20,231
28,0,18,3,2,0,1,1,736208,736209,736101,2,3,1,1,0,0,2,0,1,0,0,171
